sample_id,status,action,reason,published_path,archive_path
F_148,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_148,dataset_rejected\flyball_v2_20260727\batch_01\F_148
F_149,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_149,dataset_rejected\flyball_v2_20260727\batch_01\F_149
F_150,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_150,dataset_rejected\flyball_v2_20260727\batch_01\F_150
F_151,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_151,dataset_rejected\flyball_v2_20260727\batch_01\F_151
F_152,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_152,dataset_rejected\flyball_v2_20260727\batch_01\F_152
F_153,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_153,dataset_rejected\flyball_v2_20260727\batch_01\F_153
F_154,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_154,dataset_rejected\flyball_v2_20260727\batch_01\F_154
F_155,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_155,dataset_rejected\flyball_v2_20260727\batch_01\F_155
F_156,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_156,dataset_rejected\flyball_v2_20260727\batch_01\F_156
F_157,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_157,dataset_rejected\flyball_v2_20260727\batch_01\F_157
F_158,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_158,dataset_rejected\flyball_v2_20260727\batch_01\F_158
F_159,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_159,dataset_rejected\flyball_v2_20260727\batch_01\F_159
F_160,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_160,dataset_rejected\flyball_v2_20260727\batch_01\F_160
F_161,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_161,dataset_rejected\flyball_v2_20260727\batch_01\F_161
F_163,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_163,dataset_rejected\flyball_v2_20260727\batch_01\F_163
F_164,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_164,dataset_rejected\flyball_v2_20260727\batch_01\F_164
F_165,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_165,dataset_rejected\flyball_v2_20260727\batch_01\F_165
F_166,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_166,dataset_rejected\flyball_v2_20260727\batch_01\F_166
F_167,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_167,dataset_rejected\flyball_v2_20260727\batch_01\F_167
F_168,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_168,dataset_rejected\flyball_v2_20260727\batch_01\F_168
F_169,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_169,dataset_rejected\flyball_v2_20260727\batch_01\F_169
F_171,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_171,dataset_rejected\flyball_v2_20260727\batch_01\F_171
